Date,ACWI,USMV,QUAL,MTUM,AGG
2013-08-31,-0.022949080513354203,-0.0325734124084861,-0.020750200471531755,-0.03563545925283629,-0.008264055357446676
2013-09-30,0.05539269329084706,0.02537298577498004,0.03807848226377031,0.030128143035249577,0.011206952647356383
2013-10-31,0.039502990659403325,0.047246531273793524,0.048641359321024424,0.05567907787973003,0.008325501113830569
2013-11-30,0.015521636015256579,0.013218272967574718,0.041126765937163245,0.031469936624937356,-0.002506162345014773
2013-12-31,0.020692361928717595,0.012730126483483595,0.022871584108836274,0.02677582874768758,-0.005567744199289515
2014-01-31,-0.04633804495875593,-0.030422772596028436,-0.04193186782577052,-0.023155165219158613,0.015410010517701078
2014-02-28,0.05204761436717287,0.043869941052127936,0.04893827168396303,0.06718987173784341,0.0037631678653857747
2014-03-31,0.005708247510617603,0.008469410655206122,-0.0046876585811428395,-0.03418840029862058,-0.0014807456991037249
2014-04-30,0.011867834423693324,0.01331549430083756,0.007455744525307839,-0.009943488950825308,0.008217382917852234
2014-05-31,0.020057709079315922,0.011496921094188206,0.023260300037691417,0.04067618700146225,0.011790206833930839
2014-06-30,0.018181953202679457,0.012442924869851435,0.0058852571280467725,0.020719771344446913,-0.0005755392637388779
2014-07-31,-0.014437238641664574,-0.014239645694757663,-0.007561663888136172,-0.010433089227727788,-0.0025092403128361696
2014-08-31,0.025762001602664508,0.03979314655496036,0.04346328836879709,0.04600615609922798,0.011496869048897906
2014-09-30,-0.033158391746090365,-0.007836575690763903,-0.0077178044993644335,-0.006658903576587494,-0.00614854884857019
2014-10-31,0.01205428271745812,0.04246254981599251,0.026673256394625477,0.022969168960840225,0.010640995592064995
2014-11-30,0.013756138077655633,0.0356419710386493,0.022875950500665487,0.03752212925393561,0.006569981005085879
2014-12-31,-0.023576672428424983,0.0003795043958001454,-0.005591176330006831,-0.008060866420036672,0.0014758460464909806
2015-01-31,-0.013162541609108458,-0.0049406157700512265,-0.017349519422611204,-0.006905932087808209,0.02052282149776663
2015-02-28,0.05508402545048319,0.03649417754968143,0.06016010359670543,0.0542978491397319,-0.008947552495666589
2015-03-31,-0.014611561816441299,-0.007481119812165149,-0.01569809419455004,-0.01052841564510143,0.0037474239605335136
2015-04-30,0.028657254345422878,-0.005816873510362308,0.001729008909185925,-0.010383754064055895,-0.0032277384041824453
2015-05-31,0.0,0.010239373022304488,0.015222824093849452,0.03363491813807329,-0.004374588787908862
2015-06-30,-0.025783612449055804,-0.02231463411882817,-0.018463260664794867,-0.003448529607510409,-0.010766836202419139
2015-07-31,0.008242228115140193,0.0401788006414614,0.02879724775333825,0.037934191897935676,0.008621691578346358
2015-08-31,-0.06806813483322982,-0.04530279360146661,-0.05413699728662347,-0.060013819893176,-0.003357785326197793
2015-09-30,-0.03437163520266895,-0.006221405925968426,-0.01296320504687043,-0.018894787165350424,0.008114132958439324
2015-10-31,0.0765666689781399,0.059863912969772004,0.0865177100126735,0.07315654091713153,0.0006852306342792769
2015-11-30,-0.005338405920712885,-0.0021454130970911534,0.004415472948755106,0.005327838062971546,-0.003890821259552535
2015-12-31,-0.021057636134577562,0.005044584652249551,-0.017171313648030928,-0.001344403901164526,-0.0019166388933616885
2016-01-31,-0.05302772267030331,-0.013868890206104045,-0.046151310752860386,-0.03806795301737487,0.01240661622416206
2016-02-29,-0.01248591637278329,0.010426545993460934,0.006007187635577171,-0.012765883915280551,0.00887041730698157
2016-03-31,0.07394648695002104,0.059317294700495404,0.05907047473620186,0.053073202555440346,0.008746783527989965
2016-04-30,0.013378429044245133,-0.00364223217812909,-0.003962025604194674,-0.006293273153967549,0.0025496822524380125
2016-05-31,0.0033446048539804707,0.01576396916715095,0.010709945496647277,0.02450458595110594,0.00013520982903725276
2016-06-30,-0.0004969292786692892,0.04488500204796364,0.0048395061330159805,0.029512027369287486,0.019351821436022876
2016-07-31,0.037702417449989145,0.014715688677182426,0.030454524600570743,0.026832400882242258,0.005444573031625266
2016-08-31,0.003427504098332035,-0.019620585805199542,-0.002205242685730968,-0.014913986233344279,-0.002154183059051573
2016-09-30,0.009393634976583964,-0.006473205176107499,-0.001021734959037568,0.004931475218974191,0.0005165149392936108
2016-10-31,-0.019120117707858042,-0.027514868206340637,-0.020447720824563254,-0.019387314425364566,-0.008171683346538283
2016-11-30,0.010350152583725958,0.006111347709541581,0.030101429111459854,-0.005931532601167522,-0.025655507342401518
2016-12-31,0.019622792621763363,0.024328390938449074,0.01995134268983989,0.010952446014230288,0.00254129384425128
2017-01-31,0.029069020525949174,0.01260491954862264,0.011577591665819398,0.03150519917849581,0.0021284807391726
2017-02-28,0.025127239754038966,0.045425144615599766,0.046923992256241,0.03795510551159231,0.006459433736197173
2017-03-31,0.013457256009402396,0.0012295329607208139,-0.00044995617527210374,0.02052398278748302,-0.0005530077446509463
2017-04-30,0.01612405098903036,0.014040140511217603,0.006181135934786974,0.025771360172185842,0.00906998410199722
2017-05-31,0.022090658727016654,0.020045419735482017,0.01488052067744805,0.04765260666979576,0.006870910970605548
2017-06-30,0.007871367695365006,-0.0035449695649643065,0.00564842791236897,0.00345327450802535,-0.0001831424526351766
2017-07-31,0.02733244202862295,0.02023308220764175,0.01021922296425104,0.03476228787563862,0.003340457639476657
2017-08-31,0.004012781481653294,0.007612141975618769,0.0046583938599995545,0.01467727108304051,0.009413210300866837
2017-09-30,0.018801077549871037,0.005166312696782915,0.02651700171124416,0.028088694190256502,-0.005716191746542254
2017-10-31,0.02150524574978907,0.019467598755276372,0.029168103721326277,0.05037597629233348,0.000978885612317848
2017-11-30,0.020199381283993345,0.030787341228108556,0.03602473427459585,0.027960228520357733,-0.001483352502657076
2017-12-31,0.014503339294827722,0.002389285775384442,0.012480511643556236,0.0012254488628058446,0.004751966693400167
2018-01-31,0.05701199191324502,0.03486178127202644,0.045717587980991015,0.08222639264270137,-0.011250697497076634
2018-02-28,-0.04475043149295921,-0.042475240056793706,-0.029068980884426443,-0.014604141811277782,-0.01008739998137631
2018-03-31,-0.014974503754987767,-0.0026237154972462706,-0.012968247278086986,-0.03452769713846959,0.006711412428275887
2018-04-30,0.004044431490273004,0.0021181397481258024,-0.013058082323739062,0.005003513650127633,-0.009410459486957623
2018-05-31,0.004722965029906101,0.009992213355084267,0.02695108423884074,0.03447622912017323,0.0066191824812624755
2018-06-30,-0.005852933011671224,0.016957626758582034,-3.1891420005703e-05,-0.0007148477930633002,0.0010261946075453832
2018-07-31,0.030652570857602868,0.0329193498750171,0.03714857565624796,0.017593545153890666,-0.00029243541871315504
2018-08-31,0.006957247122459931,0.030595554597275365,0.03731904589371027,0.05867605642646989,0.005680321722685733
2018-09-30,0.006096773596290461,0.012437148494920613,0.010676326452680573,0.00918666890080777,-0.006197507562631821
2018-10-31,-0.07433325551467485,-0.04049794933713913,-0.07568901821463991,-0.0985712781391459,-0.0064409080325813495
2018-11-30,0.015856677301929523,0.032340602525673834,0.009218542278273345,0.014169606507624222,0.0077155139850315635
2018-12-31,-0.07210112005893154,-0.06688109745504933,-0.0847109829028404,-0.07514460157438796,0.019812090677066685
2019-01-31,0.08042383065917713,0.05648897615185833,0.08246466584768974,0.06455118184518915,0.009109104494543496
2019-02-28,0.024668152514510266,0.03829454337902405,0.04356722552111569,0.03392702379511503,-0.0011381536893562139
2019-03-31,0.015768031624723955,0.02713739641905577,0.02532638803267684,0.021171301762513473,0.021225699008756704
2019-04-30,0.03423444154338351,0.02176876022035268,0.03794450103130864,0.022553070053309643,-0.0020034151223247143
2019-05-31,-0.060707963140971044,-0.016145160725872465,-0.06582526964597435,-0.021968452804093985,0.019108231615105442
2019-06-30,0.06490463125558232,0.04983529834353684,0.07072995775230129,0.06120808315884885,0.010986024423097707
2019-07-31,0.0006781254172911755,0.016685620972210158,0.013774962338864771,0.01795957256046643,0.0018183108247207258
2019-08-31,-0.022098527391986367,0.01593361206671884,-0.017793540158764,0.0026503295329376453,0.02782758513483574
2019-09-30,0.02245943069965417,0.009836922232650203,0.01851544441695574,-0.011383488789187157,-0.006121102623418695
2019-10-31,0.02738954002150229,-0.0023398715320533947,0.022078045735531182,0.006456970227067593,0.002081170956699685
2019-11-30,0.02336034195749148,0.013917097764562625,0.04457844278571099,0.032911254572895565,-0.00034512636903494265
2019-12-31,0.034419501309146394,0.01773265564144011,0.028359383798269633,0.01696554822869034,-0.00046758428864801527
2020-01-31,-0.01438506160517894,0.023475753876724292,-0.006831558419447825,0.037432271076580204,0.0202897778049409
2020-02-29,-0.07489410053395085,-0.08742928815861906,-0.08334177243606644,-0.07185608886158634,0.015846931681245513
2020-03-31,-0.1340992145265789,-0.11301069268349684,-0.1138998760177663,-0.11533454671221666,-0.005268284482029761
2020-04-30,0.09829009391291121,0.09368640810623297,0.1227788622543784,0.11701721582828917,0.017190888156867867
2020-05-31,0.050931414775480244,0.0431691045284921,0.05616012559949457,0.05868496214034358,0.006725842466229315
2020-06-30,0.029405436091898052,-0.011110236236093418,0.0018741624022731163,0.04324388461988127,0.006590688651794574
2020-07-31,0.053581107750927615,0.04568694436573573,0.04952031071782148,0.07015306935419252,0.013331684538425925
2020-08-31,0.0602549216762307,0.0272870131758558,0.06864042338000731,0.09479967419684576,-0.008236264998911502
2020-09-30,-0.02950806205612877,-0.0166514344121359,-0.031510400620797685,-0.038025002677817055,-0.0009728027662175842
2020-10-31,-0.022272352506469306,-0.03248099968820972,-0.02593014398627802,-0.04185854013354573,-0.005582838600170392
2020-11-30,0.11760931407062025,0.08092798787050137,0.1129144892145848,0.10628052044678693,0.012067254365285773
2020-12-31,0.046872986280010576,0.023078273726665044,0.03705863874155413,0.03437045665458105,0.0008574970787957881
2021-01-31,-0.003086320866655834,-0.027254013034953783,-0.0283106375617298,0.015933995331022466,-0.007445439244996632
2021-02-28,0.022887968877511877,-0.0037858669649821763,0.03196924614079322,-0.0058588947922665335,-0.015181388207890278
2021-03-31,0.028537429397795133,0.056083498472299986,0.04979680184224611,-0.011940353565758843,-0.011463139683236312
2021-04-30,0.04245939236515017,0.03989025735599738,0.04803722303957336,0.07055845006579253,0.0073200671951774154
2021-05-31,0.014719167134134237,0.00875614419088766,0.010107493693132241,-0.010568658216802529,0.0020382484674292822
2021-06-30,0.012608875786012108,0.017162329580536984,0.03364713384146545,0.018594903896862913,0.008279221886805743
2021-07-31,0.009091735159138192,0.035457198917942856,0.033792519121425224,0.009225765355005189,0.011165750521843654
2021-08-31,0.0217413608820054,0.018761333851555317,0.028319709767526735,0.041193159168660065,-0.0020036399814541417
2021-09-30,-0.04226984451556348,-0.04987054733138763,-0.06454861189753747,-0.03467254197233893,-0.009172399988143787
2021-10-31,0.053943116716168804,0.0551021556315201,0.07712744850717002,0.08587697584940734,-8.690073006600851e-05
2021-11-30,-0.023074774086641714,-0.020502844475370097,-0.006060835865635106,-0.03949028083298656,0.0027082312833976996
2021-12-31,0.03887878286886681,0.06842862898909874,0.035041039920119976,-0.004840014609108767,-0.0035872111565580234
2022-01-31,-0.04547186119321278,-0.05982684174748165,-0.06952442654831648,-0.09030914125387624,-0.019986054594001268
2022-02-28,-0.030603134134417176,-0.030633889615773846,-0.041051196302422044,-0.026783380794458522,-0.011456342953034548
2022-03-31,0.019411603585574033,0.05581106476132125,0.03958385598580527,0.04773218935721402,-0.028122294684023053
2022-04-30,-0.080677433795184,-0.05337108576597005,-0.08281954273608394,-0.12682006047604577,-0.03805865810455533
2022-05-31,0.004469760089300667,0.00040834314435556074,-0.0017007889131261944,-0.0059889534220993745,0.007605807570552736
2022-06-30,-0.08106942191921473,-0.041318307726151415,-0.09049326678399205,-0.06390013608568579,-0.015530439972758048
2022-07-31,0.07068793523741657,0.0512747256187529,0.09209686003383255,0.05169745831995942,0.025381203872774094
2022-08-31,-0.04364303953194082,-0.031567555667664005,-0.051384919022130604,-0.01994139336391143,-0.030422874114757636
2022-09-30,-0.09394640326256609,-0.07074625689375713,-0.09757252511869785,-0.05954918305935175,-0.04144989215533601
2022-10-31,0.06347175845071207,0.07700484371865124,0.0829324710908168,0.125476191959093,-0.01278520494260682
2022-11-30,0.08336348098777724,0.0571708058478797,0.07711461213579418,0.034678715722513465,0.038084415927420734
2022-12-31,-0.04610033770461597,-0.037522294332661965,-0.056229285206707114,-0.03926999042696877,-0.008704559697126246
2023-01-31,0.0750470697147454,0.01525666516577262,0.07151647958418494,-0.0054822193237962225,0.033302675921240255
2023-02-28,-0.03320537211390662,-0.03497242103855436,-0.02751638090319275,-0.04037734930298875,-0.026657100073479545
2023-03-31,0.03332580591144607,0.03446293167274761,0.0480056495335095,0.004328788094507541,0.026412427887069212
2023-04-30,0.015686574604633963,0.014847409350524421,0.017087138253243817,0.023949993554766014,0.005755094573395736
2023-05-31,-0.01047623210543891,-0.03224045658802677,0.007211457051490511,-0.04825460587515762,-0.011442962107771737
2023-06-30,0.05784293595758361,0.04451109690423727,0.06429077030830577,0.06876335164084857,-0.003682021832757121
2023-07-31,0.03596001021121875,0.013856993290620734,0.03781409790018708,0.017331130808615702,-0.00015370688028693014
2023-08-31,-0.02907738877998356,-0.006369407829577067,-0.004358012599774197,0.0030664604833599007,-0.006313251535314257
2023-09-30,-0.04279794666258385,-0.028317460344578715,-0.050680284273791565,-0.04818770217609014,-0.02589577524735076
2023-10-31,-0.02544115681599679,-0.008704086976913605,-0.014796072746322775,-0.01624936442310021,-0.01570663445434961
2023-11-30,0.0888690797448306,0.06411148226687047,0.08649107145065127,0.0922651496067115,0.04592901518538528
2023-12-31,0.04812832008515677,0.027670701834108247,0.04689012066107123,0.04756010323049198,0.03697649987847851
2024-01-31,0.0027512927913089236,0.021658496135724015,0.02283551181551635,0.055835379065090285,-0.0015111341857838578
2024-02-29,0.04507590388384064,0.02094821833876992,0.06498337525593967,0.09996988034024801,-0.014745873179836333
2024-03-31,0.03263017095330367,0.03137558009384134,0.027729600445211222,0.02910168710017591,0.009024933239625055
2024-04-30,-0.035503481680975724,-0.03744924068569999,-0.044964922443809785,-0.05465711576741927,-0.024782297529508446
2024-05-31,0.04575411621035963,0.02921091650893981,0.055937706137631826,0.053582668879452955,0.016695630021986707
2024-06-30,0.02037816354111044,0.01768778426490414,0.0323980674055806,0.04540079578851919,0.008854844133380668
2024-07-31,0.01539139851980531,0.03668422613979394,0.005973491488441063,-0.020013257228026604,0.02419150530630443
2024-08-31,0.024971519274140208,0.04917266451684088,0.0349282144312113,0.03351310526850071,0.014614470685064385
2024-09-30,0.021969566698429865,0.00437039508684367,0.011617167138909146,0.0295404317097141,0.013328603020688945
2024-10-31,-0.02091173617338926,-0.014456167176961188,-0.016062591934776882,-0.0017261004615500841,-0.025187675784564267
2024-11-30,0.04032455037898375,0.05067237268880831,0.05027781092420014,0.0697101244289835,0.011109752300964226
2024-12-31,-0.023931135940093773,-0.057344294142590346,-0.03333311596870869,-0.03652206715471873,-0.015716405344328832
